"id_makanan,""image_link""";
"1,""https://images.app.goo.gl/pGZeWe559XyGbMqD6"" ";
"2,""https://images.app.goo.gl/kwBpGWcqmh5PeeGG8""";
"3,""https://images.app.goo.gl/ApzSLFHboNyStntc9 """;
"4,""https://images.app.goo.gl/vqbP132yoDmFtocj9 """;
"5,""https://images.app.goo.gl/7jUR1ptRfVXrVqGY6""";
"6,""https://images.app.goo.gl/LgTP8vWeNq5pGUQZ8 """;
"7,""https://images.app.goo.gl/ZqDBUs5vmoS9HkSk9 """;
"8,""https://images.app.goo.gl/EX6jJN8xBqpwC3N56 """;
"9,""https://images.app.goo.gl/tkmNB4XX34hu1HjR6 """;
"10,""https://images.app.goo.gl/kzJEiCM24pwM5Sxj7 """;
"11,""https://images.app.goo.gl/i5VJQMrQ1zQAoKt76 """;
"12,""https://images.app.goo.gl/iQB77vVCh6XZwpeu7 """;
"13,""https://images.app.goo.gl/GQn4346n4vEcJtYB9 """;
"14,""https://images.app.goo.gl/AZeMdA7PVMdbFX2FA""";
"15,""https://images.app.goo.gl/AmH4iYp9cvaDgy6B9""";
"16,""https://images.app.goo.gl/8cfESYDL13hhGyni9""";
"17,""https://images.app.goo.gl/aMonH9vaDyjZQ4bK7""";
"18,""https://images.app.goo.gl/KgMhhWuFUVxxXxWd7""";
"19,""https://images.app.goo.gl/UNRhQBC6y2Gk4Njs6""";
"20,""https://images.app.goo.gl/Ew69L8mr1pYMAw24A""";
"21,""https://images.app.goo.gl/YzEuWaTtFjNEdyQ48""";
"22,""https://images.app.goo.gl/Z5qgsDUsPDcZh8y8A""";
"23,""https://images.app.goo.gl/iyuFgB92o8V83LpZ6""";
"24,""https://images.app.goo.gl/bhsTKcZrHZbfy1NB7""";
"25,""https://images.app.goo.gl/PvxoUmUWfLWkoX249""";
"26,""https://images.app.goo.gl/4UaiX3A13AXxtSL77""";
"27,""https://images.app.goo.gl/6hLGKdH66Q1ky4438""";
"28,""https://images.app.goo.gl/uDcN4yRYq5PPskXf6""";
"29,""https://images.app.goo.gl/LohnNWDaDt1eVXQw8""";
"30,""https://images.app.goo.gl/FGmQFjcLy73cPD196""";
"31,""https://images.app.goo.gl/Avq223iKRxstQ1XP7""";
"32,""https://images.app.goo.gl/2Xkao48gwxpwNzgw5""";
"33,""https://images.app.goo.gl/rPF7TsGFfPjZHg7p7""";
"34,""https://images.app.goo.gl/8AbqkGcVscJ2JBiY9""";
"35,""https://images.app.goo.gl/f97DbrwRByjkHnPf7""";
"36,""https://images.app.goo.gl/tErNKr8xeHTJYthQ7""";
"37,""https://images.app.goo.gl/ovTngBKCRRCtTD8U7""";
"38,""https://images.app.goo.gl/QKmFx2CMoBheZ2Rb6""";
"39,""https://images.app.goo.gl/mDkd8wQeRfUV76zK7""";
"40,""https://images.app.goo.gl/mBoBbRubZ5TGcmty8""";
"41,""https://images.app.goo.gl/FqAZpWP9novHyBhc8""";
