"id_makanan","makanan_khas","deskripsi","harga"
"1","Sate Bandeng","Sate yang terbuat dari ikan bandeng, santan, dan rempah-rempah","Rp.20.000 - Rp50.000"
"2","Rabeg","Makanan yang bahan dasarnya daging dan jeroan kambing","Rp.20.000 - Rp50.000"
"3","Gerem Asem","Masakan dengan rasa asam yang khas","Rp.20.000 - Rp35.000"
"4","Ketan Bintul","Makanan dari beras ketan yang dibumbui dan dibakar","Rp.10.000 - Rp25.000"
"5","Nasi Bakar Sumsum","Nasi yang dibakar dengan sumsum","Rp.16.000 - Rp34.000"
"6","Angeun Lada","Sayur kuah pedas yang biasanya menggunakan ayam, babat sapi, atau tulang iga sapi","Rp.20.000 - Rp35.000"
"7","Kerak Telor","Makanan ini terbuat dari nasi yang dicampur dengan telur dan serundeng, dimasak dengan cara dibakar di atas tungku api","Rp.15.000 - R30.000"
"8","Soto Betawi","Soto ini menggunakan bahan utama jeroan yang dicampur dengan kuah santan dan susu, serta daging sapi","Rp.20.000 - Rp50.000"
"9","Asinan Betawi","Terbuat dari saus kacang dengan beragam sayuran mentah seperti tauge, sawi, dan kubis, disiram dengan kuah gula merah yang dicampur cabai","Rp.15.000 - Rp40.000"
"10","Ketoprak","Terdiri dari bihun, kecambah, mentimun, dan tahu","Rp.15.000 - Rp30.000"
"11","Gado-Gado","Salad tradisional Indonesia yang terdiri dari sayuran rebus, telur, tahu, tempe, dilengkapi dengan saus kacang","Rp.15.000 - Rp30.000"
"12","Nasi Timbel","Nasi yang dibungkus daun pisang dan biasanya disajikan dengan lauk seperti ayam goreng, tahu, tempe, dan sambal","Rp.30.000 - Rp60.000"
"13","Batagor","Singkatan dari bakso tahu goreng, merupakan makanan gorengan yang terbuat dari tahu yang diisi adonan ikan dan tepung, kemudian digoreng","Rp.10.000 - Rp25.000"
"14","Karedok","Salad sayuran mentah khas Sunda yang disajikan dengan bumbu kacang","Rp.15.000 - Rp30.000"
"15","Nasi Liwet","Nasi gurih yang dimasak dengan santan, serai, dan daun salam, sering disajikan dengan ayam suwir, telur, dan sambal","Rp.20.000 - Rp50.000"
"16","Bakakak Ayam","Ayam utuh yang dibumbui dan dibakar","Rp.30.000 - Rp60.000"
"17","Mie Kocok","Mie dengan kuah kaldu sapi yang kaya rempah, disajikan dengan kikil dan tauge","Rp.15.000 - Rp35.000"
"18","Seblak","Makanan pedas yang terbuat dari kerupuk basah yang dimasak dengan sayuran dan protein seperti telur, ayam, atau seafood","Rp.15.000 - Rp40.000"
"19","Tahu Petis","Tahu yang diisi dengan saus hitam atau petis, biasanya terbuat dari udang atau ikan","Rp.10.000 - Rp50.000"
"20","Tempe Mendoan","Tempe yang digoreng dengan tepung dan dimasak cepat sehingga tidak terlalu matang, memiliki rasa yang lezat dan enak","Rp.20.000 - Rp50.000"
"21","Nasi Gandul","Mirip dengan nasi uduk, disajikan dengan daun pisang dan lauk daging sapi yang gurih","Rp.15.000 - Rp50.000"
"22","Dawet Ireng","Dawet berwarna hitam pekat yang diperoleh dari abu jerami, disajikan dengan gula jawa asli","Rp.10.000 - Rp30.000"
"23","Brekecek","Makanan khas Jawa Tengah yang tidak boleh dilewatkan saat berkunjung ke sana","Rp.25.000 - Rp50.000"
"24","Lumpia","Makanan khas Semarang dengan isian daging dan rebung, disajikan dengan tauco atau saus bawang putih manis","Rp.10.000 - Rp70.000"
"25","Roti Ganjel Rel","Roti khas Jawa Tengah yang terinspirasi dari roti gambang Jakarta, berwarna kecoklatan dan berbentuk persegi panjang dengan biji wijen","Rp.14.000 - Rp45.000"
"26","Gudeg","Makanan ikonik Yogyakarta yang terbuat dari nangka muda yang dimasak dengan santan dan bumbu khusus hingga berwarna coklat dan memiliki rasa manis","Rp.10.000 - Rp40.000"
"27","Sate Klathak","Sate unik yang menggunakan daging kambing muda dan tusuk sate dari besi jeruji sepeda, memberikan cita rasa yang khas","Rp.20.000 - Rp50.000"
"28","Oseng Mercon","Makanan pedas yang terbuat dari daging sapi atau jeroan yang dimasak dengan bumbu pedas","Rp.15.000 - Rp40.000"
"29","Bakpia Pathok","Camilan manis yang terbuat dari kacang hijau atau isian lainnya, sangat populer sebagai oleh-oleh","Rp.30.000 - Rp60.000"
"30","Sate Kere","Sate yang berbahan dasar jeroan sapi atau tempe gembus, disajikan dengan lontong dan bumbu kacang","Rp.10.000 - Rp30.000"
"31","Krecek","Kulit sapi yang diolah dengan bumbu rempah-rempah, biasanya disajikan bersama gudeg","Rp.15.000 - Rp30.000"
"32","Tiwul","Makanan tradisional yang terbuat dari singkong, menjadi alternatif pengganti nasi","Rp.10.000 - Rp30.000"
"33","Soto Lamongan","Soto ini unik karena penggunaan koya, bubuk gurih dari kerupuk udang dan bawang putih yang dihancurkan","Rp.30.000 - Rp50.000"
"34","Rawon","Dikenal dengan kuah hitam pekatnya yang berasal dari kluwek, biasanya menggunakan daging sapi yang direbus dalam waktu lama","Rp.20.000 - Rp50.000"
"35","Rujak Cingur","Terbuat dari campuran sayuran dan cingur (hidung sapi), disajikan dengan saus petis yang khas","Rp.20.000 - Rp60.000"
"36","Pecel Tumpang","Pecel dengan bumbu tumpang, saus tempe yang difermentasi","Rp.10.000 - Rp30.000"
"37","Lontong Balap","Lontong yang disajikan dengan tauge, tahu goreng, lentho (kroket dari kacang tolo), dan sambal petis","Rp.10.000 - Rp35.000"
"38","Bakso Malang","Bakso dengan berbagai variasi seperti bakso telur, bakso goreng, bakso urat, bakso udang, dan bakso bakar","Rp.15.000 - Rp30.000"
"39","Bebek Sinjay","Bebek muda yang disajikan dengan nasi hangat dan kremesan, serta tambahan mangga muda","Rp.20.000 - Rp50.000"
"40","Gethuk Pisang","Dibuat dari pisang raja nangka yang asam, manis, dan lembut","Rp.10.000 - Rp20.000"
"41","Kare Rajungan","Olahan dari kepiting laut yang terkenal di Tuban","Rp.30.000 - Rp100.00"
